2016-06-29 14:34:37 INFO  UserServiceJdbcImpl:106 - User 9999 logged in
2016-06-29 14:34:38 INFO  UserServiceJdbcImpl:401 - Request user 9999
2016-06-29 14:34:42 INFO  UserServiceJdbcImpl:401 - Request user 9999
2016-06-29 14:34:51 INFO  UserServiceJdbcImpl:152 - User 9999 makes new order 24
2016-06-29 14:34:54 INFO  UserServiceJdbcImpl:413 - Get all orders of user 9999
2016-06-29 14:34:54 INFO  UserServiceJdbcImpl:275 - User 9999 get information for his last order 24
2016-06-29 14:35:01 INFO  UserServiceJdbcImpl:401 - Request user 9999
2016-06-29 14:35:03 INFO  UserServiceJdbcImpl:491 - User 9999 was deleted
2016-06-29 15:37:57 ERROR UserServiceJdbcImpl:98 - LoginException: failed attempt to log in with phone 1234
2016-06-29 15:38:14 INFO  UserServiceJdbcImpl:56 - New passenger 1234 registered
2016-06-29 15:39:00 INFO  UserServiceJdbcImpl:106 - User 1234 logged in
2016-06-29 15:39:00 INFO  UserServiceJdbcImpl:401 - Request user 1234
2016-06-29 15:42:03 INFO  UserServiceJdbcImpl:401 - Request user 1234
2016-06-29 15:42:09 INFO  UserServiceJdbcImpl:106 - User 1234 logged in
2016-06-29 15:42:10 INFO  UserServiceJdbcImpl:401 - Request user 1234
2016-06-29 15:42:12 INFO  UserServiceJdbcImpl:401 - Request user 1234
2016-06-29 15:43:32 INFO  UserServiceJdbcImpl:56 - New passenger 2222 registered
2016-06-29 15:48:25 INFO  UserServiceJdbcImpl:56 - New passenger 3333 registered
2016-06-29 15:50:11 INFO  UserServiceJdbcImpl:56 - New passenger 4444 registered
2016-06-29 15:50:58 INFO  UserServiceJdbcImpl:56 - New passenger 666 registered
2016-06-29 15:54:19 INFO  UserServiceJdbcImpl:56 - New passenger 1342 registered
2016-06-29 15:57:34 INFO  UserServiceJdbcImpl:56 - New passenger 6789 registered
2016-06-29 16:00:14 INFO  UserServiceJdbcImpl:56 - New passenger 4321 registered
2016-06-29 16:03:10 INFO  UserServiceJdbcImpl:56 - New passenger 0001 registered
2016-06-29 16:05:04 INFO  UserServiceJdbcImpl:56 - New passenger 0002 registered
2016-06-29 16:05:47 INFO  UserServiceJdbcImpl:56 - New passenger 0003 registered
2016-06-29 16:07:17 INFO  UserServiceJdbcImpl:56 - New passenger 0004 registered
2016-06-29 16:08:15 INFO  UserServiceJdbcImpl:58 - New passenger 0006 registered
2016-06-29 16:09:26 INFO  UserServiceJdbcImpl:58 - New passenger 0007 registered
2016-06-29 16:12:52 INFO  UserServiceJdbcImpl:56 - New passenger 0008 registered
2016-06-29 16:13:44 INFO  UserServiceJdbcImpl:56 - New passenger 0009 registered
2016-06-29 16:15:13 INFO  UserServiceJdbcImpl:56 - New passenger 0010 registered
2016-06-29 16:16:27 INFO  UserServiceJdbcImpl:56 - New passenger 0011 registered
2016-06-29 16:22:13 INFO  UserServiceJdbcImpl:56 - New passenger 0013 registered
2016-06-29 16:22:13 INFO  UserServiceJdbcImpl:106 - User 0013 logged in
2016-06-29 16:27:44 INFO  UserServiceJdbcImpl:106 - User 0013 logged in
2016-06-29 16:27:44 INFO  UserServiceJdbcImpl:401 - Request user 0013
2016-06-29 16:27:48 INFO  UserServiceJdbcImpl:401 - Request user 0013
2016-06-29 16:28:00 INFO  UserServiceJdbcImpl:152 - User 0013 makes new order 1
2016-06-29 16:28:47 INFO  UserServiceJdbcImpl:413 - Get all orders of user 0013
2016-06-29 16:28:47 INFO  UserServiceJdbcImpl:275 - User 0013 get information for his last order 1
2016-06-29 16:28:52 INFO  UserServiceJdbcImpl:401 - Request user 0013
2016-06-29 16:28:52 INFO  UserServiceJdbcImpl:413 - Get all orders of user 0013
2016-06-29 16:28:59 INFO  UserServiceJdbcImpl:401 - Request user 0013
2016-06-29 16:29:25 INFO  UserServiceJdbcImpl:80 - New driver 0015 registered
2016-06-29 16:29:25 INFO  UserServiceJdbcImpl:106 - User 0015 logged in
2016-06-29 16:29:27 INFO  UserServiceJdbcImpl:520 - Get all order by status NEW
2016-06-29 16:29:27 INFO  UserServiceJdbcImpl:425 - Found 1 orders with status NEW
2016-06-29 16:29:28 INFO  UserServiceJdbcImpl:443 - Create map of distances from orders to driver address Ukraine Kiev Starokievskaya 10
2016-07-05 14:41:01 INFO  UserServiceJdbcImpl:106 - User 1234 logged in
2016-07-05 14:41:01 INFO  UserServiceJdbcImpl:426 - Request user 1234
2016-07-05 14:41:04 INFO  UserServiceJdbcImpl:426 - Request user 1234
2016-07-05 14:41:07 INFO  UserServiceJdbcImpl:155 - User 1234 makes new order 15
2016-07-05 14:41:10 INFO  UserServiceJdbcImpl:426 - Request user 1234
2016-07-05 14:41:10 INFO  UserServiceJdbcImpl:438 - Get all orders of user 1234
2016-07-05 14:41:15 INFO  UserServiceJdbcImpl:438 - Get all orders of user 1234
2016-07-05 14:41:15 INFO  UserServiceJdbcImpl:300 - User 1234 get information for his last order 15
2016-07-05 14:41:23 INFO  UserServiceJdbcImpl:426 - Request user 1234
2016-07-05 14:45:19 INFO  UserServiceJdbcImpl:106 - User 1234 logged in
2016-07-05 14:45:19 INFO  UserServiceJdbcImpl:426 - Request user 1234
2016-07-05 14:45:20 INFO  UserServiceJdbcImpl:426 - Request user 1234
2016-07-05 14:45:23 INFO  UserServiceJdbcImpl:503 - Change registered data for user. User 12345 was updated
2016-07-05 14:45:28 INFO  UserServiceJdbcImpl:426 - Request user 12345
2016-07-05 14:45:30 INFO  UserServiceJdbcImpl:426 - Request user 12345
